F1, F2, F3, F4, R
0.275,0.975,0.304,0.638,-1
0.665,0.240,0.241,0.804,-1
0.129,0.388,0.754,0.717,-1
0.832,0.368,0.988,0.271,1
0.956,0.820,0.787,0.012,1
0.141,0.707,0.625,0.456,-1
0.121,0.731,0.819,0.405,-1
0.344,0.918,0.968,0.954,-1
0.947,0.334,0.558,0.933,1
0.643,0.913,0.679,0.633,1
0.439,0.205,0.725,0.736,-1
0.194,0.778,0.413,0.218,-1
0.419,0.035,0.793,0.057,-1
0.371,0.819,0.489,0.856,-1
0.868,0.902,0.620,0.595,1
0.158,0.956,0.478,0.339,-1
0.926,0.779,0.604,0.378,1
0.001,0.097,0.680,0.603,-1
0.282,0.578,0.007,0.365,-1
0.102,0.415,0.755,0.660,-1
0.412,0.740,0.546,0.592,-1
0.069,0.177,0.483,0.293,-1
0.608,0.548,0.945,0.369,1
0.677,0.704,0.757,0.263,1
0.272,0.948,0.176,0.052,-1
0.589,0.554,0.520,0.593,-1
0.628,0.573,0.541,0.701,-1
0.758,0.491,0.942,0.718,1
0.437,0.980,0.663,0.440,-1
0.822,0.240,0.910,0.934,1
0.678,0.386,0.107,0.925,-1
0.291,0.762,0.392,0.034,-1
0.216,0.977,0.001,0.412,-1
0.833,0.995,0.655,0.840,1
0.075,0.811,0.165,0.610,-1
0.581,0.051,0.094,0.719,-1
0.204,0.711,0.935,0.505,-1
0.256,0.718,0.045,0.791,-1
0.428,0.855,0.099,0.767,-1
0.357,0.045,0.455,0.073,-1
0.830,0.555,0.598,0.495,1
0.043,0.063,0.819,0.825,-1
0.587,0.680,0.773,0.822,1
0.473,0.032,0.393,0.183,-1
0.305,0.015,0.947,0.204,-1
0.481,0.917,0.066,0.468,-1
0.798,0.422,0.898,0.363,1
0.456,0.244,0.703,0.982,-1
0.152,0.655,0.587,0.586,-1
0.811,0.945,0.927,0.099,1
0.371,0.873,0.104,0.357,-1
0.340,0.900,0.432,0.673,-1
0.880,0.073,0.173,0.946,1
0.648,0.950,0.536,0.218,-1
0.902,0.814,0.776,0.6123,1
0.526,0.173,0.418,0.991,-1
0.128,0.357,0.775,0.913,-1
0.824,0.549,0.119,0.847,1
0.658,0.175,0.764,0.988,1
0.243,0.161,0.106,0.073,-1
0.096,0.250,0.860,0.830,-1
0.698,0.406,0.397,0.870,-1
0.987,0.918,0.741,0.006,1
0.538,0.960,0.862,0.334,1
0.082,0.675,0.786,0.569,-1
0.524,0.576,0.271,0.718,-1
0.972,0.587,0.795,0.407,1
0.464,0.721,0.763,0.094,-1
0.077,0.507,0.606,0.600,-1
0.346,0.152,0.951,0.079,-1
0.440,0.849,0.988,0.639,1
0.167,0.494,0.548,0.297,-1
0.111,0.214,0.740,0.523,-1
0.183,0.713,0.899,0.415,1
0.916,0.153,0.482,0.096,1
0.226,0.172,0.155,0.972,-1
0.931,0.347,0.447,0.648,1
0.423,0.010,0.889,0.031,-1
0.932,0.961,0.060,0.878,1
0.594,0.561,0.621,0.398,-1
0.533,0.016,0.776,0.429,-1
0.005,0.391,0.726,0.540,-1
0.446,0.187,0.171,0.493,-1
0.049,0.830,0.527,0.474,-1
0.388,0.211,0.655,0.450,-1
0.416,0.440,0.099,0.664,-1
0.266,0.519,0.297,0.009,-1
0.513,0.771,0.679,0.532,-1
0.160,0.585,0.534,0.633,-1
0.304,0.974,0.352,0.303,-1
0.887,0.484,0.524,0.629,1
0.851,0.574,0.376,0.517,1
0.242,0.239,0.936,0.540,-1
0.834,0.694,0.670,0.481,1
0.823,0.311,0.803,0.462,1
0.982,0.002,0.012,0.549,1
0.061,0.427,0.006,0.122,-1
0.019,0.320,0.455,0.768,-1
0.410,0.808,0.272,0.215,-1
0.783,0.385,0.501,0.490,1
0.769,0.012,0.224,0.047,1
0.905,0.918,0.060,0.858,1
0.336,0.664,0.176,0.399,-1
0.548,0.183,0.972,0.839,1
0.163,0.063,0.496,0.498,-1
0.834,0.686,0.304,0.283,1
0.870,0.674,0.398,0.892,1
0.883,0.856,0.726,0.278,1
0.511,0.980,0.533,0.445,-1
0.821,0.593,0.981,0.806,1
