Ensembl Gene ID	GO Term Name
ENSG00000136267	NAD+ kinase activity
ENSG00000136267	diacylglycerol kinase activity
ENSG00000136267	calcium ion binding
ENSG00000136267	ATP binding
ENSG00000136267	cytoplasm
ENSG00000136267	plasma membrane
ENSG00000136267	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000136267	blood coagulation
ENSG00000136267	phosphorylation
ENSG00000136267	platelet activation
ENSG00000136267	intracellular signal transduction
ENSG00000136267	plasma membrane
ENSG00000136267	NAD+ kinase activity
ENSG00000136267	diacylglycerol kinase activity
ENSG00000136267	calcium ion binding
ENSG00000136267	ATP binding
ENSG00000136267	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000136267	phosphorylation
ENSG00000136267	intracellular signal transduction
ENSG00000136267	NAD+ kinase activity
ENSG00000136267	diacylglycerol kinase activity
ENSG00000136267	calcium ion binding
ENSG00000136267	ATP binding
ENSG00000136267	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000136267	phosphorylation
ENSG00000136267	intracellular signal transduction
ENSG00000136267	NAD+ kinase activity
ENSG00000136267	diacylglycerol kinase activity
ENSG00000136267	calcium ion binding
ENSG00000136267	ATP binding
ENSG00000136267	cytoplasm
ENSG00000136267	plasma membrane
ENSG00000136267	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000136267	blood coagulation
ENSG00000136267	phosphorylation
ENSG00000136267	platelet activation
ENSG00000136267	intracellular signal transduction
ENSG00000102385	calcium ion binding
ENSG00000102385	cytoplasm
ENSG00000102385	cytoskeleton
ENSG00000102385	central nervous system development
ENSG00000102385	zinc ion binding
ENSG00000102385	protein binding
ENSG00000102385	calcium ion binding
ENSG00000102385	cytoplasm
ENSG00000102385	cytoskeleton
ENSG00000102385	central nervous system development
ENSG00000102385	zinc ion binding
ENSG00000102385	protein binding
ENSG00000102385	plasma membrane
ENSG00000136267	
ENSG00000102385	protein binding
ENSG00000136267	NAD+ kinase activity
ENSG00000136267	diacylglycerol kinase activity
ENSG00000136267	calcium ion binding
ENSG00000136267	ATP binding
ENSG00000136267	cytoplasm
ENSG00000136267	plasma membrane
ENSG00000136267	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000136267	blood coagulation
ENSG00000136267	phosphorylation
ENSG00000136267	platelet activation
ENSG00000136267	intracellular signal transduction
ENSG00000102385	calcium ion binding
ENSG00000102385	cytoplasm
ENSG00000102385	cytoskeleton
ENSG00000102385	central nervous system development
ENSG00000102385	zinc ion binding
ENSG00000102385	protein binding
ENSG00000102385	calcium ion binding
ENSG00000102385	cytoplasm
ENSG00000102385	cytoskeleton
ENSG00000102385	central nervous system development
ENSG00000102385	zinc ion binding
ENSG00000102385	protein binding
ENSG00000169247	protein binding
ENSG00000169247	
ENSG00000186732	metabolic process
ENSG00000186732	hydrolase activity
ENSG00000186732	molecular_function
ENSG00000186732	cellular_component
ENSG00000186732	biological_process
ENSG00000169247	protein binding
ENSG00000169900	protein binding
ENSG00000169900	nucleus
ENSG00000169900	cytosol
ENSG00000169900	negative regulation of protein kinase activity
ENSG00000169900	IkappaB kinase complex
ENSG00000169900	negative regulation of NF-kappaB transcription factor activity
ENSG00000169900	tumor necrosis factor-mediated signaling pathway
ENSG00000169900	innate immune response
